time(s),colorTemp,lux,R,G,B
36.897058725357056,21654,71,826,318,245,289
37.05853343009949,21579,71,827,319,245,289
37.217223167419434,23024,69,822,317,243,288
37.38941836357117,23098,70,821,316,243,288
37.544766902923584,22062,71,820,315,243,287
37.69796586036682,22835,70,825,318,244,289
37.86091756820679,21818,71,824,317,244,288
38.016507625579834,21654,71,826,318,245,289
38.1775438785553,22835,70,825,318,244,289
38.32512593269348,21818,71,823,317,244,288
38.485188484191895,21579,71,826,319,245,289
38.647210121154785,21818,71,823,317,244,288
38.811753034591675,21654,71,827,318,245,289
38.968541860580444,21818,71,824,317,244,288
39.13033866882324,22835,70,825,318,244,289
39.290372371673584,23098,70,822,316,243,288
39.44968318939209,25123,68,812,311,240,286
39.596267223358154,25501,68,807,308,239,285
39.7611129283905,25534,67,807,310,238,284
39.917930364608765,26168,64,799,309,235,281
40.08078718185425,26938,64,791,304,233,279
40.22857141494751,26585,65,793,306,234,280
40.39182496070862,24272,66,803,311,237,282
40.54437327384949,22028,68,819,318,241,285
40.71156048774719,20803,69,820,319,242,285
40.86152172088623,22365,68,815,315,240,284
41.03457164764404,22007,69,819,317,242,286
41.17579770088196,22184,69,818,316,241,285
41.335968017578125,22260,69,816,315,241,285
41.49696493148804,22260,69,815,315,241,285
41.65806579589844,23343,68,818,316,241,286
41.81068992614746,22083,70,819,316,242,286
41.98465013504028,22083,70,818,316,242,286
42.1310830116272,22007,69,820,317,242,286
42.29652714729309,22007,69,819,317,242,286
42.459362268447876,22184,69,817,316,241,285
42.61533713340759,20959,70,818,317,242,285
42.77516293525696,22007,69,819,317,242,286
42.935720682144165,22007,69,820,317,242,286
43.08859896659851,20959,70,819,317,242,285
43.24479627609253,21758,69,823,319,243,287
43.39524841308594,21758,69,824,319,243,287
43.55931997299194,22007,69,820,317,242,286
43.72982692718506,22007,69,820,317,242,286
43.88373303413391,23343,68,818,316,241,286
44.04233717918396,24199,67,806,310,238,283
44.19005584716797,28005,65,797,305,235,282
44.354183197021484,26185,66,799,306,236,282
44.51244640350342,26185,66,799,306,236,282
44.68014478683472,25857,66,802,308,237,283
44.827348947525024,27297,64,786,302,232,278
44.989213705062866,27319,62,788,305,231,277
